iter	Passed	Remaining
0	136	136706
1	137	68666
2	138	45961
3	138	34595
4	139	27786
5	140	23243
6	140	19989
7	141	17551
8	142	15655
9	142	14138
10	143	12897
11	144	11862
12	144	10987
13	145	10240
14	146	9589
15	146	9019
16	147	8518
17	148	8082
18	148	7685
19	149	7344
20	150	7021
21	151	6723
22	151	6453
23	152	6205
24	153	5978
25	153	5765
26	154	5568
27	155	5385
28	155	5214
29	156	5055
30	156	4905
31	157	4765
32	158	4636
33	158	4514
34	159	4398
35	160	4289
36	160	4188
37	161	4091
38	162	3996
39	162	3906
40	163	3820
41	163	3740
42	164	3662
43	165	3589
44	165	3519
45	166	3452
46	167	3387
47	167	3329
48	168	3270
49	169	3213
50	169	3159
51	170	3107
52	171	3058
53	171	3010
54	172	2965
55	173	2922
56	174	2879
57	174	2839
58	175	2798
59	176	2761
60	176	2722
61	177	2685
62	178	2647
63	178	2616
64	179	2584
65	180	2552
66	181	2520
67	181	2487
68	182	2457
69	182	2427
70	183	2398
71	184	2372
72	185	2349
73	185	2323
74	186	2299
75	187	2275
76	187	2250
77	188	2227
78	189	2204
79	189	2182
80	190	2160
81	191	2138
82	191	2118
83	192	2098
84	192	2076
85	193	2057
86	194	2036
87	194	2019
88	195	2002
89	196	1985
90	197	1968
91	197	1952
92	198	1935
93	199	1918
94	199	1902
95	200	1886
96	200	1871
97	201	1856
98	202	1842
99	203	1828
100	203	1813
101	204	1796
102	204	1782
103	205	1769
104	206	1757
105	206	1744
106	207	1731
107	208	1719
108	208	1707
109	209	1695
110	210	1683
111	211	1672
112	211	1661
113	212	1650
114	213	1640
115	213	1628
116	214	1618
117	215	1607
118	215	1595
119	216	1585
120	216	1575
121	217	1566
122	217	1554
123	218	1545
124	219	1535
125	220	1527
126	220	1518
127	221	1507
128	222	1499
129	222	1491
130	223	1483
131	224	1474
132	225	1466
133	225	1458
134	226	1450
135	226	1441
136	227	1434
137	228	1425
138	228	1418
139	229	1410
140	230	1403
141	230	1395
142	231	1387
143	232	1380
144	232	1373
145	233	1366
146	234	1360
147	235	1353
148	235	1346
149	236	1339
150	236	1332
151	237	1326
152	238	1319
153	239	1313
154	239	1307
155	240	1300
156	241	1294
157	241	1288
158	242	1281
159	243	1275
160	243	1270
161	244	1263
162	244	1258
163	245	1252
164	246	1246
165	247	1241
166	247	1235
167	248	1230
168	249	1225
169	249	1219
170	250	1214
171	251	1208
172	251	1203
173	252	1198
174	253	1193
175	253	1187
176	254	1182
177	254	1177
178	255	1172
179	256	1167
180	256	1161
181	257	1156
182	257	1151
183	258	1147
184	259	1142
185	260	1138
186	260	1133
187	261	1129
188	262	1124
189	262	1120
190	263	1115
191	264	1111
192	264	1106
193	265	1102
194	266	1098
195	266	1094
196	267	1090
197	268	1086
198	268	1081
199	269	1077
200	269	1073
201	270	1069
202	271	1065
203	272	1061
204	272	1057
205	273	1053
206	273	1049
207	274	1045
208	275	1041
209	275	1037
210	276	1033
211	277	1030
212	278	1027
213	278	1023
214	279	1020
215	280	1016
216	280	1013
217	281	1010
218	282	1006
219	283	1003
220	283	1000
221	284	996
222	285	993
223	285	989
224	286	986
225	286	982
226	287	979
227	288	975
228	288	972
229	289	968
230	290	965
231	290	962
232	291	958
233	291	955
234	292	951
235	292	948
236	293	945
237	294	942
238	295	939
239	295	936
240	296	933
241	297	930
242	297	927
243	298	924
244	299	921
245	299	918
246	300	915
247	300	912
248	301	909
249	302	906
250	302	903
251	303	901
252	304	898
253	304	895
254	305	892
255	306	889
256	306	886
257	307	884
258	308	882
259	309	879
260	309	877
261	310	874
262	311	871
263	311	869
264	312	866
265	313	864
266	313	861
267	314	859
268	315	856
269	315	854
270	316	851
271	317	848
272	317	846
273	318	843
274	319	841
275	319	839
276	320	836
277	321	834
278	321	831
279	322	829
280	323	826
281	323	824
282	324	821
283	325	819
284	325	817
285	326	814
286	327	812
287	327	809
288	328	807
289	328	804
290	329	802
291	330	800
292	330	798
293	331	796
294	332	793
295	332	791
296	333	789
297	333	786
298	334	785
299	335	783
300	336	781
301	337	778
302	337	776
303	338	774
304	338	772
305	339	770
306	340	768
307	341	766
308	341	764
309	342	762
310	343	760
311	343	758
312	344	756
313	345	754
314	345	752
315	346	750
316	347	748
317	348	746
318	348	744
319	349	742
320	349	740
321	350	738
322	351	736
323	351	734
324	352	732
325	353	730
326	353	728
327	354	726
328	355	724
329	355	722
330	356	720
331	357	718
332	357	716
333	358	715
334	359	713
335	359	711
336	360	709
337	361	707
338	361	705
339	362	703
340	363	702
341	363	700
342	364	698
343	365	696
344	365	694
345	366	692
346	367	690
347	367	688
348	368	687
349	369	685
350	369	683
351	370	682
352	371	680
353	371	678
354	372	676
355	373	675
356	373	673
357	374	671
358	375	669
359	375	668
360	376	666
361	377	664
362	377	662
363	378	661
364	379	659
365	379	657
366	380	656
367	381	654
368	381	652
369	382	651
370	382	649
371	383	647
372	384	646
373	385	644
374	385	642
375	386	641
376	386	639
377	387	637
378	388	636
379	388	634
380	389	632
381	390	631
382	390	629
383	391	628
384	392	626
385	393	625
386	393	623
387	394	622
388	395	620
389	395	619
390	396	617
391	397	615
392	397	614
393	398	612
394	399	611
395	399	609
396	400	608
397	401	606
398	401	604
399	402	603
400	402	601
401	403	600
402	404	598
403	404	597
404	405	595
405	406	594
406	406	592
407	407	591
408	408	589
409	408	588
410	409	586
411	409	585
412	410	583
413	411	582
414	412	580
415	412	579
416	413	577
417	413	576
418	414	574
419	415	573
420	416	572
421	416	570
422	417	569
423	417	567
424	418	566
425	419	564
426	419	563
427	420	562
428	421	560
429	421	559
430	422	557
431	423	556
432	423	555
433	424	553
434	425	552
435	425	550
436	426	549
437	427	548
438	427	546
439	428	545
440	429	543
441	429	542
442	430	541
443	430	539
444	431	538
445	432	536
446	432	535
447	433	534
448	434	532
449	434	531
450	435	530
451	436	528
452	436	527
453	437	525
454	437	524
455	438	523
456	439	522
457	440	520
458	440	519
459	441	518
460	442	516
461	442	515
462	443	514
463	444	513
464	444	511
465	445	510
466	446	509
467	446	507
468	447	506
469	447	505
470	448	504
471	449	502
472	450	501
473	450	500
474	451	498
475	452	497
476	452	496
477	453	495
478	454	493
479	454	492
480	455	491
481	456	490
482	456	488
483	457	487
484	458	486
485	458	485
486	459	483
487	460	482
488	460	481
489	461	480
490	462	479
491	462	477
492	463	476
493	464	475
494	464	474
495	465	472
496	466	471
497	466	470
498	467	469
499	467	467
500	468	466
501	469	465
502	469	464
503	470	463
504	471	461
505	471	460
506	472	459
507	473	458
508	473	457
509	474	455
510	475	454
511	475	453
512	476	452
513	477	451
514	478	450
515	478	448
516	479	447
517	480	446
518	480	445
519	481	444
520	482	443
521	482	442
522	483	441
523	484	439
524	484	438
525	485	437
526	485	436
527	486	435
528	487	433
529	488	432
530	488	431
531	489	430
532	489	429
533	490	428
534	491	426
535	492	425
536	492	424
537	493	423
538	494	422
539	494	421
540	495	420
541	495	418
542	496	417
543	497	416
544	497	415
545	498	414
546	499	413
547	499	412
548	500	411
549	501	410
550	501	408
551	502	407
552	503	406
553	504	405
554	504	404
555	505	403
556	506	402
557	506	401
558	507	400
559	508	399
560	508	398
561	509	396
562	509	395
563	510	394
564	511	393
565	511	392
566	512	391
567	512	390
568	513	389
569	514	388
570	515	386
571	515	385
572	516	384
573	516	383
574	517	382
575	518	381
576	518	380
577	519	379
578	520	378
579	520	377
580	521	376
